6034
Latitude Longitude
39.7497075 -104.9780382
39.7496446 -104.9780381
39.749668 -104.9779094
39.7496682 -104.9778693
39.7495987 -104.9778689
39.7495982 -104.9780154
39.7496443 -104.9780156
39.7496447 -104.9779093
39.7496946 -104.9778662
39.7496953 -104.9776496
39.7495958 -104.9778655
39.7495966 -104.977649
39.7495961 -104.9777886
39.7496949 -104.9777892
39.7496951 -104.9777168
39.7495964 -104.9777162
39.7505633 -104.977595
39.7506288 -104.9775939
39.7506295 -104.9776636
39.750564 -104.9776647
39.7504331 -104.9776995
39.7504322 -104.9776043
39.7504905 -104.9776034
39.7504913 -104.9776986
39.7503609 -104.9776891
39.7503611 -104.977602
39.7502967 -104.9776016
39.7502964 -104.9776888
39.7502644 -104.977412
39.7502644 -104.9773921
39.7502583 -104.9773921
39.7502587 -104.9772423
39.7502901 -104.9772424
39.7502904 -104.9771333
39.7503449 -104.9771335
39.7503446 -104.9772396
39.7503314 -104.9772395
39.750331 -104.9773919
39.7503126 -104.9773918
39.7503126 -104.9774122
39.7497011 -104.9775372
39.7497016 -104.9774087
39.7496671 -104.9774085
39.7496669 -104.9774525
39.7496202 -104.9774521
39.7496198 -104.9775366
39.7499433 -104.9775228
39.7499433 -104.9774404
39.7498894 -104.9774403
39.7498894 -104.9775228
39.7497331 -104.9773284
39.749733 -104.9771544
39.7496318 -104.9771545
39.7496215 -104.9771659
39.7496226 -104.9772048
39.7496117 -104.9772142
39.7496117 -104.9772611
39.7496169 -104.9772611
39.749617 -104.9773099
39.7496459 -104.9773099
39.7496459 -104.9773226
39.7496687 -104.9773225
39.7496687 -104.9773124
39.7496909 -104.9773124
39.7496909 -104.9773285
39.7498016 -104.9773068
39.7498016 -104.9771369
39.7497374 -104.9771369
39.7497374 -104.9773069
39.7498678 -104.9773078
39.7498671 -104.9771328
39.7498063 -104.9771332
39.749807 -104.9773083
39.7499401 -104.9773367
39.749939 -104.9771338
39.7498792 -104.9771344
39.7498803 -104.9773369
39.7500038 -104.9773329
39.7500169 -104.9771639
39.7500741 -104.9771633
39.7500747 -104.9772705
39.7501424 -104.9775191
39.750202 -104.9775197
39.7502024 -104.9774329
39.7501429 -104.9774323
39.7500774 -104.9773066
39.7501387 -104.9772699
39.7501384 -104.9771514
39.7501271 -104.977131
39.7501095 -104.9771314
39.75008 -104.9771342
39.7500771 -104.9771464
39.7506024 -104.9775317
39.7504931 -104.9775317
39.7504931 -104.9775163
39.7504699 -104.9775163
39.7504699 -104.9774358
39.7504925 -104.9774358
39.7504925 -104.9774163
39.7505286 -104.9774163
39.750539 -104.9774056
39.7505565 -104.9774056
39.7505673 -104.9774163
39.750608 -104.9774163
39.750608 -104.9774566
39.7506024 -104.9774566
39.7503403 -104.9775212
39.7503399 -104.9774404
39.7502901 -104.9774409
39.7502905 -104.9775217
39.7506119 -104.9773993
39.750577 -104.9772901
39.7505769 -104.9772437
39.7505867 -104.9772437
39.7505866 -104.9771357
39.7505256 -104.9771175
39.7505257 -104.9772381
39.7505168 -104.9772381
39.7505169 -104.9772902
39.7506124 -104.9772953
39.75052 -104.9772945
39.7505197 -104.9773577
39.750501 -104.9773576
39.7505008 -104.9773983
39.7497232 -104.9768476
39.7495985 -104.9768472
39.7495987 -104.976699
39.7497235 -104.9766994
39.7497167 -104.9766958
39.7496117 -104.9766952
39.749612 -104.9766144
39.749717 -104.976615
39.7497024 -104.976503
39.7496137 -104.9765017
39.7496129 -104.976603
39.7497016 -104.9766043
39.7497025 -104.9764988
39.7496172 -104.9764983
39.7496176 -104.9763957
39.7497029 -104.9763962
39.7502129 -104.9767792
39.750214 -104.9765961
39.7501514 -104.9765954
39.7501503 -104.9767785
39.7503525 -104.9767762
39.7503185 -104.9766371
39.7503185 -104.9766157
39.7502956 -104.9767763
39.749796 -104.9767993
39.749797 -104.9766243
39.7497373 -104.9766238
39.7497364 -104.9767765
39.7497404 -104.9767766
39.7497403 -104.9767988
39.7498662 -104.9768007
39.7498668 -104.9766276
39.7498072 -104.9766273
39.7498107 -104.9767793
39.7499438 -104.9768001
39.7499434 -104.9766325
39.7498798 -104.9766328
39.7498802 -104.9767793
39.7497985 -104.9765112
39.749799 -104.9764271
39.7497389 -104.9764265
39.7497384 -104.9765106
39.7499452 -104.9767797
39.7499444 -104.9765837
39.750009 -104.9765832
39.7500098 -104.9767786
39.7501336 -104.9766299
39.7500818 -104.9766299
39.7500818 -104.976777
39.7500844 -104.976777
39.7500844 -104.9768089
39.7501343 -104.9768089
39.7499351 -104.9764149
39.7498857 -104.9764151
39.7498859 -104.9764839
39.7498664 -104.9765178
39.749867 -104.9764162
39.7498047 -104.9764156
39.749804 -104.9765171
39.7499401 -104.9764924
39.7500057 -104.9764927
39.7500059 -104.9764173
39.7499403 -104.976417
39.7500809 -104.9767785
39.7500805 -104.9766269
39.7500135 -104.9766272
39.7500139 -104.9767795
39.7500176 -104.9767795
39.7500177 -104.9767977
39.7502868 -104.9767797
39.7502862 -104.9766095
39.7502174 -104.9766099
39.7502177 -104.9766836
39.7502237 -104.9766835
39.750224 -104.97678
