Latitude Longitude
39.767162 -104.9653905
39.7685736 -104.9667261
39.7684859 -104.9628604
39.7677341 -104.9651138
39.7677195 -104.96435
39.768721 -104.9657467
39.7666033 -104.9656165
39.7678593 -104.9649132
39.7668742 -104.9654556
39.767435 -104.9643054
39.7649852 -104.9657231
39.7673914 -104.9627735
39.768332 -104.9656072
39.7685282 -104.9630698
39.7650045 -104.9636606
39.7684621 -104.9641611
39.7663303 -104.9666002
39.7678668 -104.9652309
39.7675878 -104.9649434
39.7689988 -104.9663129
39.7689972 -104.966117
39.7671842 -104.9650799
39.7693936 -104.9668071
39.7703378 -104.9643921
39.7670466 -104.9625535
39.7650907 -104.9644592
39.7689192 -104.9648811
39.7676162 -104.9630877
39.7683785 -104.9663799
39.7677292 -104.9652923
39.768859 -104.9652065
39.7691629 -104.9631115
39.7686654 -104.9655775
39.7694371 -104.9643706
39.7703758 -104.9655398
39.7662876 -104.9657567
39.7659448 -104.9630566
39.7663834 -104.9657511
39.7655224 -104.963649
39.7667017 -104.9654051
39.7667657 -104.9654132
39.7666814 -104.9625809
39.7666388 -104.9636634
39.768915 -104.9636702
39.7671335 -104.9664902
39.7663467 -104.9649251
39.7685448 -104.9643144
39.7664659 -104.9657546
39.7659407 -104.9625979
39.7676785 -104.9645777
39.7659405 -104.9625769
39.7663578 -104.9667289
39.7695364 -104.9654381
39.7661445 -104.9632302
39.7692295 -104.9628665
39.7680557 -104.9632049
39.7692064 -104.9662527
39.7673389 -104.9638252
39.7651231 -104.9656369
39.768014 -104.9644983
39.7682978 -104.965175
39.768688 -104.9651458
39.7697456 -104.9654775
39.766101 -104.9668254
39.7680089 -104.9661346
39.7652124 -104.9651309
39.766668 -104.9657695
39.7649686 -104.9655489
39.7668673 -104.9640693
39.7682943 -104.9644702
39.7682838 -104.9629929
39.7664953 -104.9662872
39.7679839 -104.9628629
39.7704531 -104.9663509
39.7702737 -104.965456
39.7686503 -104.9661177
39.7698788 -104.9668327
39.7667913 -104.9648614
39.7667878 -104.9653664
39.769155 -104.9643089
39.7665577 -104.9624969
39.7672372 -104.9663113
39.7661424 -104.9630606
39.766234 -104.9662803
39.7666212 -104.9668324
39.7659745 -104.9636414
39.7651879 -104.9636305
39.7652223 -104.9665106
39.7659733 -104.9667929
39.7651199 -104.9627665
39.7695996 -104.9652075
